feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV052	ASV054	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV072	ASV075	ASV081	ASV095	ASV097
DINP_high_wk22_control_d2_A	0.000827444	0.443542561	0.110270057	0.008649416	0.128238844	0.068085404	0.047419299	0.043927035	0.000374975	0.028785557	0.002947301	0.004694683	0.008789407	0	0.005902102	0.004157219	0.007516993	0.010631782	0.000932437	0.003089791	0.000282481	0.010334302	0.008089454	7e-05	0.003094791	0.001239916	0.010029323	0.000577461	0	0.000182488	0.00089494	0.000472468	0.000789947	0.002787312	0.000217485	0.000549963	0.000462469	0.001249916	0.000367475	0	0.000219985	0.001324911	0.007609486	0.000692453	0.00815195	0	0.003504763	0.001757381	0	0.001592393	8e-05	0	2e-05	0.000957435	0	0.001239916	0.000537464	0	6.25e-05	0.00015249	7e-05	0.00089494	0.000162489	8e-05	3.75e-05	8.75e-05	0	0
DINP_high_wk22_control_d2_B	0.000166271	0.442358691	0.065190854	0.008900759	0.122038693	0.03690374	0.059535536	0.087873163	0.000370426	0.02911426	0.001285969	0.013444798	0.014290886	0	0.006985486	0.006486673	0.011150679	0.023284252	0.001231247	0.004158879	0.001037615	0.008079928	0.006130979	8.42e-05	0.002555101	0.003194929	0.006078362	0.002289909	0.000279925	0.001847923	0.00246039	0.000530383	0.000399892	0.003733731	0.000648246	0.001311226	0.000536697	0.000239935	0.000456719	0.000244145	0.000330437	0.002624556	0.011422185	0.000328333	0.001399623	0	0.000553535	0.001955263	0	0.000290448	0.000107339	0	4.63e-05	0.000397788	2.74e-05	0.000684026	0.000391473	0	0.000423044	0.000195737	7.37e-05	0.001033406	0.000119968	4.84e-05	4.84e-05	0.000107339	7.37e-05	0
DINP_high_wk22_control_d2_C	0.000494494	0.197023722	0.067424152	0.03422431	0.108342979	0.035838622	0.098353313	0.078298586	0.000543278	0.055259155	0.001620965	0.038235698	0.058784919	0	0.00658808	0.010734734	0.015398057	0.050504916	0.00216646	0.011444322	0.001419176	0.007175707	0.018928256	0.001306085	0.002374902	0.005270907	0.014295978	0.004199873	0	0.001578833	0.012051906	0.001246214	0.00117082	0.005763184	0.00279622	0.003377195	0.000350359	0.000720675	0.001762882	0.00090029	0.000651934	0.006321984	0.017313944	0.000640847	0.004714324	0	0.00174736	0.003519112	0	0.000472319	0.00041023	0	0.000201789	0.000536626	0.000170745	0.001035555	0.000705153	0.000135265	0.00030601	0.000199572	0.000106438	0.001230691	0.000580975	0.000235051	0.000144135	5.77e-05	2.22e-06	0.00014857
DINP_high_wk22_control_d2_D	8.28e-05	0.330718017	0.100702408	0.0108653	0.05734149	0.087316986	0.099311545	0.031573463	0.000479608	0.057411251	0.003924065	0.015905543	0.04470382	0.008558822	0.004678357	0.008002913	0.016459273	0.01630885	0.001048597	0.015951324	0.002208377	0.004961762	0.010036886	0.005251707	0.005046784	0.000699792	0.006097561	0.002356619	0.007710788	0.002367519	0.000318285	0.000416387	0.002031794	0.008201296	0.001244801	0	3.27e-05	1.74e-05	0.005358529	0.002862387	0.002343539	0.005266967	0.00301281	0.001650287	0.000449087	0.002871108	8.07e-05	0	0	0.000479608	0.000499228	0.000141702	0.000285585	0	2.83e-05	0.001981653	0	0	0	0.000154783	0.000104642	0.000946136	0	0.000401127	0	0.000109002	6.54e-06	0.000111182
DINP_high_wk22_control_d2_E	5.88e-05	0.246609118	0.207000025	0.025162995	0.122710577	0.020355101	0.076068958	0.026345356	0.000134487	0.048148989	0.006886832	0.008279329	0.073323191	0.017133027	0.006813985	0.008368986	0.016480207	0.009212329	0.000361433	0.009660618	0.001157145	0.004449264	0.004068218	0.003454623	0.000989037	0.000347424	0.009458888	0.001308442	0.00862395	0.00144573	0.000176514	0.000378243	0.000456694	0.002947497	0.000551955	0	3.92e-05	0	0.0105656	0.001748325	0.001961262	0.003768425	0.005847363	0.00262529	0.00043428	0.000975028	3.36e-05	0	0	0.000669631	0.000296991	6.44e-05	8.97e-05	0	1.68e-05	0.000739676	0	0	0	3.92e-05	8.41e-05	0.000501523	0	0.000198928	0	5.32e-05	0	3.92e-05
DINP_high_wk22_control_d2_F	0.000102566	0.25217116	0.239131937	0.022539928	0.08257208	0.054622926	0.073584203	0.074886342	7.8e-05	0.068993273	0.009266588	0.006009012	0.013012466	0.016876518	0.005050246	0.002443739	0.0129099	0.006903118	0.000985523	0.004836196	0.000425871	0.005569764	0.008691329	0.003331156	0.002909744	0.00014493	0.007293313	0.000824985	0.00164774	0.000298778	7.14e-05	0.000249725	0.000448168	0.001678956	6.91e-05	0	4.46e-05	5.57e-05	0.000965455	0.001322206	0.004296611	0.000947618	0.005799422	0.000207361	0.000301008	0.000983293	0.000171686	0	0.00121741	0.000124863	0.000831674	0	0.000171686	0	1.11e-05	0.000196213	0	0	0	9.81e-05	6.47e-05	0.000878498	0	0.000167227	0	0.000120403	0.000115944	4.68e-05
DINP_high_wk22_control_d2_G	0	0.155004153	0.221607662	0.082802118	0.123912479	0.023102679	0.068692899	0.042423692	0.000184282	0.042623547	0.006166944	0.008269311	0.069131541	0.022542047	0.014379153	0.009805855	0.023839805	0.011420266	0.000791632	0.007799522	0.00080461	0.006120224	0.005253322	0.002826516	0.000724149	0.000397114	0.010639016	0.001650748	0.007324543	0.001170577	0.000197259	0.000425664	0.000267338	0.003192483	0.000789037	0	4.67e-05	0	0.007677533	0.001100498	0.00191549	0.00166113	0.005842504	0.00055544	0.0005788	0.001658534	7.79e-05	0	0	0.000487957	0.000477575	3.89e-05	8.05e-05	0	0	0.000155731	0	0	0	0	4.15e-05	0.000612542	0	0.000290698	0	5.71e-05	0	2.08e-05
DINP_high_wk22_dinp_d2_A	0.000879219	0.48889793	0.11136198	0.024298071	0.121845126	0.058217422	0.036913709	0.049575622	0.000277648	0.023991501	0.003052202	0.003191026	0.006617281	0	0.005622375	0.003682694	0.006530516	0.006675125	0.000964056	0.00184906	0.000271864	0.005252178	0.003836943	1.35e-05	0.001577196	0.000831016	0.005749631	0.000528303	0	0.000256439	0.000642061	0.00040876	0.000717258	0.002550893	0.00017353	0.000406832	0.000356701	0.001222423	0.000227517	1.74e-05	0.000229445	0.000996834	0.005959795	0.000767389	0.004930183	0	0.001721804	0.001395953	0	0.001075887	3.47e-05	0	1.74e-05	0.000530231	0	0.001124089	0.00033742	0	0.000127255	7.52e-05	4.24e-05	0.000507094	0.000109902	5.98e-05	1.35e-05	0.000131112	0	0
DINP_high_wk22_dinp_d2_B	0.000168787	0.431496775	0.060415536	0.024011895	0.121685052	0.0409227	0.06788836	0.076174975	0.000349629	0.035366809	0.001203609	0.011664356	0.013368296	0	0.008316756	0.005509675	0.010679768	0.017013282	0.001466835	0.005141962	0.0011373	0.008043483	0.006482207	0.000114534	0.002141982	0.002895493	0.006263186	0.002636285	0.000257199	0.001844596	0.00258806	0.00063094	0.000383788	0.004308076	0.000771596	0.001207628	0.00047421	0.000219021	0.000512388	0.000237105	0.000331545	0.002573995	0.012417867	0.000267245	0.001466835	0	0.000548556	0.001669781	0	0.000299395	0.000104487	0	7.84e-05	0.000454116	4.62e-05	0.000888139	0.000281311	3.62e-05	0.000349629	0.000271264	9.24e-05	0.000845942	0.000102478	5.22e-05	5.83e-05	0.000210983	0.000206964	0
DINP_high_wk22_dinp_d2_C	0.000276687	0.174824782	0.075342167	0.060960667	0.119699513	0.032197667	0.075758238	0.103878407	0.000557535	0.061643023	0.001620597	0.027608402	0.066330065	0	0.005594077	0.009055789	0.014986883	0.034592157	0.001362633	0.00988169	0.001601874	0.007025362	0.025240957	0.001202446	0.001770383	0.003472114	0.012380198	0.00350956	0	0.002101159	0.011015484	0.001210767	0.001281499	0.005400604	0.003162141	0.003012355	0.000247562	0.000557535	0.001599794	0.00040983	0.000609544	0.008331825	0.012891965	0.000490964	0.003432587	0	0.00216149	0.003060203	0	0.000262125	0.000438955	0	0.000143545	0.000278768	0.000205955	0.000649071	0.001358472	0.000166428	0.000339098	0.00011442	0.000214277	0.001079705	0.000522169	0.000131062	0.00011858	0	0.000104018	9.36e-05
