feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV052	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV072	ASV075	ASV082	ASV083	ASV084	ASV091	ASV092	ASV093	ASV097
BPS_high_wk22_control_d2_A	0.00026436	0.222162463	0.112981887	0.019289146	0.122804219	0.047625776	0.068847483	0.185142982	0.000309939	0.05245262	0.000651784	0.02152253	0.022584527	0	0.002429375	0.005770335	0.00947593	0.024284633	0.000123064	0.012370213	0.001162271	0.003951722	0.013026554	0.00015497	0.002698293	0.001508674	0.0045716	0.000783963	0.000391982	0.000834101	0.001463094	0.001536021	0.000665457	0.001440305	0.001207851	0.002069299	0.00096628	0.001782149	0.000679131	2.28e-05	0.000118506	0.006741174	0.009699268	0.000487698	7.29e-05	0	0.001285335	0.004407515	0.0007475	0.000141296	0	0.000223338	0.001294451	4.56e-05	0.00024157	0.000578857	6.38e-05	0.000205107	0.000191433	0	0.000419329	0.000191433	0.000214223	8.2e-05	3.19e-05	6.84e-05	0	0	0	2.73e-05	3.19e-05
BPS_high_wk22_control_d2_B	0.00068717	0.257967797	0.160800759	0.026441369	0.078428436	0.045447204	0.135918738	0.086145886	0.000229057	0.051681658	0.000772332	0.023622209	0.016418669	0	0.005068614	0.004625184	0.012636296	0.013003374	0.000637248	0.006149292	0.000766459	0.01098004	0.008087464	7.93e-05	0.005429819	0.003265527	0.004777888	0.00187944	2.35e-05	0.000546212	0.004287472	0.000619628	0.000296599	0.003518076	0.000493353	0.001826581	0.000757649	0.001204016	0.000748839	4.7e-05	0.000584388	0.003943887	0.007344498	0.000698917	0.000484543	0	0.000772332	0.004657487	0.000425811	0.000182071	0	0.000135085	0.0018442	2.64e-05	0.000334775	0.000375888	5.29e-05	0.00047867	6.75e-05	6.46e-05	0.000593198	8.22e-05	0.000158578	3.82e-05	4.11e-05	2.64e-05	0	0	0	0.000138021	1.17e-05
BPS_high_wk22_control_d2_C	0	0.03499333	0.06075478	0.024335816	0.023693864	0.031866941	0.165854269	0.092785683	0.000680858	0.090345709	0	0.033739996	0.169072365	0	0.001778568	0.017732881	0.012814028	0.06573755	0.000427968	0.022132059	0.002125945	0.003498777	0.024816585	0.000911516	0	0.004249111	0.015982103	0.005960983	0	0.003143064	0.012611161	0.001445087	0.002798466	0.007720098	0.012705647	0.00351823	3.61e-05	0.005596932	0.00351823	0.000566919	0.000958759	0.013114162	0.011566252	0.000194531	0.000311249	0	0.001256114	0.001789684	0.000611383	0.00101434	0	0.000289017	0.000133393	0.000903179	0.000222321	0.001333926	0.000205647	0.000491885	0.001236661	0.00014173	0.000561361	0.001353379	0.000714206	0.000377946	0.000125056	0.000166741	0	0.000261227	0.000264006	0	0.000138951
BPS_high_wk22_control_d2_D	1.58e-05	0.214607744	0.140163598	0.025459527	0.079153902	0.002400278	0.113985567	0.086958753	0.000481635	0.066864321	0.004895304	0.009893251	0.08024745	0.011957964	0.010347251	0.013596311	0.02146038	0.015925528	0.000773774	0.012265894	0.001168556	0.004765025	0.009624799	0.007252156	0.002194991	0.00103433	0.012715946	0.001354104	0.013150207	0.001958121	0.000221078	0.000331617	0.001290939	0.002463443	0.000856678	0	0	3.95e-05	0.005297982	0.002198939	0.00266873	0.004291286	0.006569182	0.002735843	6.32e-05	0.0007264	0.000225026	0	0.0008172	0.000260556	3.55e-05	0.000130278	0	5.13e-05	0.000240817	0	3.95e-05	0	0	5.53e-05	0.000655339	0	0.0006356	0	0	7.9e-05	0.000150017	0	3.95e-05	0	0
BPS_high_wk22_control_d2_E	0	0.208509799	0.146908646	0.014517103	0.078090019	0.057246844	0.112254916	0.035947699	0.001322724	0.061034272	0.002070351	0.015309916	0.042898163	0.029560009	0.002115537	0.008297835	0.028882216	0.024002103	0.00178691	0.034949494	0.00330681	0.004074976	0.01535921	0.006502709	0.003388967	0.000332735	0.011247263	0.003027477	0.01132942	0.002579723	0.000628499	0.000575097	0.004937622	0.001096793	0.000566882	0	0.000119127	3.29e-05	0.00311785	0.004374849	0.002629017	0.003672408	0.006782042	0.00051348	7.39e-05	0.000813352	7.8e-05	0	0.000447754	0.000172529	0.000119127	0.000205392	0	2.88e-05	0.000291657	0	0	0	0.000234147	7.39e-05	0.000242363	0	0.000439539	0	0	5.75e-05	0.000410784	0	8.63e-05	0	2.46e-05
BPS_high_wk22_control_d2_F	0	0.118677146	0.239196575	0.009256273	0.176962787	0.022906543	0.136457828	0.044085771	0	0.057893069	0.007781326	0.010363886	0.040378775	0.030003673	0.010714396	0.007604669	0.020952098	0.0049464	0.001951641	0.003726624	0.000221522	0.008499171	0.004464098	0.003062057	0.00067298	0.000328078	0.013109082	0.001012273	0.003137767	0.000263584	5.89e-05	0.000271996	0.000249563	0.004029465	0.000215914	0	4.49e-05	0	0.001522616	0.00108518	0.002058196	0.000650547	0.004660384	0.000420612	0.000678588	0.002994759	7.01e-05	0	0.000737473	0.000431829	0	0.000126184	0	0	0.000257976	0	0	0	0	0.000106555	0.000389767	0	0.000176657	0	0	0	1.96e-05	0	0	0	0
BPS_high_wk22_control_d2_G	2.54e-05	0.065662231	0.080312453	0.000368639	0.029011253	0.050865825	0.165290097	0.089293262	0.002713946	0.115771711	0.0012235	0.022788881	0.069583788	0.0007341	0.003734059	0.016321809	0.031146817	0.026290952	0.000222455	0.041230364	0.002634498	0.001671587	0.023828062	0.012571861	0.005532763	0.000848505	0.018295299	0.003803973	0.042390306	0.004684258	0.000451265	0.00120761	0.012994524	0.014939413	0.003810329	0	0.000333682	2.22e-05	0.005326198	0.004401422	0.002736191	0.010331426	0.003301861	0.004074096	0.000149362	0.001395108	0.000104871	0	0.000695965	0.000463977	0.000470333	0.000330504	0	0.000127117	0.000495756	0	0	0	0.000114405	0.00015254	0.000645118	0	0.001280703	0	0	8.58e-05	0.000231988	0	9.22e-05	0	6.36e-05
BPS_high_wk22_bps_d2_A	0.000474401	0.24687894	0.138965181	0	0.081765521	0.035985818	0.128456574	0.113678356	0.000564912	0.055851363	0.000680391	0.021644549	0.023629543	0	0.00594874	0.006076703	0.014266364	0.02318011	0.001036192	0.010639692	0.000976892	0.010299497	0.009169673	6.87e-05	0.008273929	0.001585498	0.004847006	0.00135454	0.00035268	0.001179761	0.000889502	0.001544925	0.000817718	0.002262768	0.001426324	0.001916331	0.000967528	0.001803972	0.000655423	3.12e-05	0.00049937	0.007649717	0.01499045	0.00094256	0.000524338	0	0.001395114	0.006476199	0.000926955	0.000165416	0	0.000140448	0.001370145	9.36e-05	0.000630454	0.001051797	0.000115479	0.000227837	0.000296501	4.99e-05	0.001198487	0.000190385	0.000202869	0.000137327	3.75e-05	1.87e-05	0	4.68e-05	0	0.000165416	0
BPS_high_wk22_bps_d2_B	0.000558416	0.282292818	0.170047331	0.007756207	0.086558347	0.060686351	0.129664219	0.073298853	0.000327347	0.045940315	0.000955084	0.018978445	0.01526209	0	0.00551484	0.005992382	0.010952658	0.010871784	0.001032107	0.006300474	0.000643141	0.007744654	0.007101512	5.78e-05	0.005861443	0.004956424	0.004779272	0.002403115	0	0.000600779	0.002410817	0.000354305	0.000412073	0.004552054	0.000450584	0.001282431	0.000901168	0.000766378	0.00087421	4.62e-05	0.000308092	0.002799783	0.007309474	0.000943531	0.000342752	0	0.000797187	0.003554607	0.000392817	0.000177153	0	8.09e-05	0.001736867	1.93e-05	0.000338901	0.000188706	0	0.000492947	0.000154046	4.24e-05	0.000423626	0.000103981	0.000111683	5.39e-05	1.93e-05	1.54e-05	0	0	0	0.000130939	0
BPS_high_wk22_bps_d2_C	1.14e-05	0.041104366	0.071764482	0.015385401	0.028046216	0.017005963	0.153632641	0.116793956	0.000879815	0.080148263	0.000113524	0.031579664	0.165163887	0	0.001027396	0.012402546	0.007211641	0.065773229	0.000249754	0.022335936	0.002897712	0.00341141	0.040420381	0.000632899	1.7e-05	0.002125745	0.015609612	0.003729278	0	0.003899565	0.011911553	0.00132256	0.003025427	0.007160555	0.013137617	0.003652649	9.65e-05	0.007035678	0.003720764	7.95e-05	0.001106863	0.016954877	0.011318388	0.000181639	0.000292325	0	0.001600695	0.002818245	0.000573298	0.001035911	0	0.000278135	0.000178801	0.000879815	0.00019583	0.001697191	0.00019583	0.000627223	0.000945091	0.00015042	0.000456936	0.001776658	0.000502346	0.000397336	0.000156096	0.000266782	0	0.000173125	0.000235563	0	6.24e-05
